number,wl,c,u
1,305.66,1.25474644537329,0.58527227072263
2,308.98,0.984929612241031,1.08010321304945
3,312.29,-1.14040439931418,1.67263170557605
4,315.61,-0.565121509271767,1.11740975286613
5,318.93,-1.09636801291791,1.02281407467976
6,322.24,-1.11154200007061,0.472320018106182
7,325.56,-0.780693869731426,0.571098555953129
8,328.88,-0.913209048466524,0.372499987157327
9,332.21,-0.274605389626307,0.331459268637505
10,335.53,-0.205930620337515,0.327370639444738
11,338.85,-0.101296709071068,0.378731322059411
12,342.17,-0.167044543238557,0.509021979969187
13,345.5,0.298646749323574,0.366062281664666
14,348.82,0.212529915226865,0.515730510799377
15,352.14,0.314339358257421,0.388457573491966
16,355.47,0.596632900027954,0.342301749042348
17,358.8,0.459796541265693,0.379855997671718
18,362.12,0.542266140104262,0.395399340515644
19,365.45,0.610303004298338,0.293608114406951
20,368.78,0.495748518071429,0.301055254632709
21,372.11,0.350937893393086,0.397604079261081
22,375.44,0.284659126697596,0.378626539127933
23,378.77,0.214479928828615,0.376358041758376
24,382.1,0.224934816880398,0.359624579593144
25,385.43,0.218472052858785,0.35384269995557
26,388.76,0.27078470935154,0.299150718194386
27,392.09,0.28356092172661,0.298988521709782
28,395.42,0.242591456339736,0.329316389978353
29,398.75,0.218123759057548,0.324593773928033
30,402.09,0.234157451848124,0.337489039651149
31,405.42,0.178742287748205,0.342882668113685
32,408.76,0.151464406955213,0.344398119648601
33,412.09,0.168405964228443,0.336566764661072
34,415.43,0.163988061697952,0.329350896909131
35,418.76,0.176183004381471,0.335409191124383
36,422.1,0.20899706605399,0.337582830843054
37,425.43,0.209971521205406,0.330796074852835
38,428.77,0.225638022072955,0.328794067497308
39,432.11,0.227944218313365,0.321746625364183
40,435.44,0.224748874809097,0.32461445868015
41,438.78,0.245781720694543,0.324934548034354
42,442.12,0.262611662941347,0.326498343279288
43,445.46,0.299876829539009,0.329344481057463
44,448.8,0.317547371334752,0.325062497715233
45,452.14,0.356484136186942,0.327784330825397
46,455.48,0.385909831865344,0.322374692306615
47,458.81,0.384906352547096,0.320307174062855
48,462.15,0.434666576522933,0.312587237495288
49,465.5,0.440913845169912,0.320283611309422
50,468.84,0.45949640782339,0.319524717271523
51,472.18,0.464460369924589,0.327493379277672
52,475.52,0.488180581418021,0.329020724021192
53,478.86,0.494340729685591,0.330668194913296
54,482.2,0.527738721412776,0.327376891163025
55,485.54,0.55478031937431,0.32299397185312
56,488.88,0.585568997190613,0.319223249989169
57,492.22,0.620638171651363,0.320124179606887
58,495.57,0.65694471414482,0.319585433417543
59,498.91,0.689690645761382,0.322673822703583
60,502.25,0.724214309286062,0.320858237207481
61,505.59,0.753580280583293,0.324374000854494
62,508.94,0.783944139366415,0.321655668115079
63,512.28,0.798497655192477,0.322317517043607
64,515.62,0.808108330922411,0.319858154794152
65,518.96,0.82410214774736,0.31769045287425
66,522.31,0.841599899535366,0.317958879390291
67,525.65,0.848895864608324,0.314585080945189
68,528.99,0.866657320109033,0.31582487466712
69,532.34,0.867610357651742,0.318260624768131
70,535.68,0.869403354542441,0.318217400544636
71,539.02,0.876590474458294,0.321013839271509
72,542.37,0.870751789208527,0.317928843346542
73,545.71,0.873510524411314,0.318340869714409
